Year,Barrels (31 gallons) (2),Number of Breweries (1),Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6)
2017,"1,000,001 Barrels+",15,"135,615,117.47","124,049,346.77","5,331,930.36"
2017,"1,000,001 Barrels+",5,"17,288,133.20","16,092,810.95","1,015,504.88"
2017,"1,000,001 Barrels+",4,"4,868,564.08","4,897,090.56","4,110.40"
2017,"500,001 to 1,000,000 Barrels",10,"6,253,029.02","5,720,117.89","94,410.33"
2017,"100,001 to 500,000 Barrels",40,"8,792,844.25","6,811,548.01","235,283.84"
2017,"60,001 to 100,000 Barrels",41,"3,175,932.85","2,714,928.75","47,505.37"
2017,"30,001 to 60,000 Barrels",53,"2,230,144.53","1,940,812.97","27,479.68"
2017,"15,001 to 30,000 Barrels",99,"2,062,332.14","2,239,986.46","38,491.22"
2017,"7,501 to 15,000 Barrels",152,"1,565,335.71","1,556,842.26","6,874.60"
2017,"1,001 to 7,500 Barrels","1,030","2,656,419.36","3,626,288.32","11,294.07"
2017,"1 to 1,000 Barrels ","3,646","1,073,977.86","1,003,361.14",790.59
2017,Under 1 Barrel,553,6.73,"107,494.10",503.53
